기관코드,기관명,시도,시군구,법정동,주소,유형,정원,물리치료사,작업치료사,요양보호사,사회복지사,간호사,지정일
24671000142,선한재가노인복지센터,전라남도,담양군,담양읍,전라남도 담양군 담양읍 추성로  1229 (담양읍),방문요양·방문목욕,,0,0,13,0,0,20260401
24671000143,동행재가복지센터,전라남도,담양군,대전면,전라남도 담양군 대전면 추성1로  198 102호 (대전면),방문요양·방문목욕,,0,0,10,1,0,20260401
24671000144,태양재가복지센터,전라남도,담양군,봉산면,전라남도 담양군 봉산면 반월길  28-14 (봉산면),방문요양·방문목욕,,0,0,22,0,0,20260401
24672000006,원등노인복지센터,전라남도,곡성군,삼기면,전라남도 곡성군 삼기면 원등4길  14-9 (삼기면),방문요양·주야간보호,,0,0,11,1,0,20080603
24672000022,심청노인복지센터,전라남도,곡성군,옥과면,전라남도 곡성군 옥과면 주산길  45-8 (옥과면),주야간보호,,0,0,4,2,0,20081001
24672000061,곡성로뎀노인복지센터,전라남도,곡성군,입면,전라남도 곡성군 입면 입면로  682 (입면),방문요양·방문목욕·방문간호,,0,0,113,8,2,20170831
24672000066,곡성행복한노인복지센터,전라남도,곡성군,곡성읍,전라남도 곡성군 곡성읍 중앙로  69 (곡성읍),방문요양·방문목욕·주야간보호,,0,0,43,5,0,20180307
24672000067,곡성로뎀주간보호센터,전라남도,곡성군,옥과면,전라남도 곡성군 옥과면 리문3길  5 (옥과면),방문요양·방문목욕·주야간보호·주야간보호내치매전담1실,,1,0,27,3,1,20180412
24672000080,옥과100세부모님학교,전라남도,곡성군,옥과면,전라남도 곡성군 옥과면 옥과5길  22 (옥과면),주야간보호,,0,0,5,3,0,20201102
24672000081,조은노인복지센터,전라남도,곡성군,오산면,전라남도 곡성군 오산면 오산로  715 (오산면),주야간보호,,0,0,10,1,0,20210827
24672000084,학림원,전라남도,곡성군,곡성읍,전라남도 곡성군 곡성읍 학림길  128 (곡성읍),방문요양·방문목욕·주야간보호,,0,0,29,3,0,20211116
24672000085,옥과노인복지센터,전라남도,곡성군,옥과면,전라남도 곡성군 옥과면 대학로  178-1 (옥과면),방문요양·방문목욕·주야간보호,,0,0,55,5,0,20211230
24672000089,주사랑재가노인복지센터,전라남도,곡성군,옥과면,전라남도 곡성군 옥과면 대학로  196 (옥과면),방문요양·방문목욕·방문간호,,0,0,47,4,0,20220831
24672000090,지인재가노인복지센터,전라남도,곡성군,옥과면,전라남도 곡성군 옥과면 리문4길  4 2층202호 (옥과면),방문요양·방문목욕,,0,0,27,2,0,20230213
24672000091,사랑나눔노인복지센터,전라남도,곡성군,곡성읍,전라남도 곡성군 곡성읍 읍내37길  10 (곡성읍),방문요양·방문목욕,,0,0,19,1,0,20240418
24672000092,두손재가노인복지센터,전라남도,곡성군,삼기면,전라남도 곡성군 삼기면 봉현길  4 (삼기면),방문요양·방문목욕·주야간보호,,0,0,30,4,0,20241010
24672000093,더편한의료기,전라남도,곡성군,옥과면,전라남도 곡성군 옥과면 대학로  129 (옥과면),복지용구,,0,0,0,0,0,20250314
24672000094,한마음노인복지센터,전라남도,곡성군,석곡면,전라남도 곡성군 석곡면 석곡7길  1 (석곡면),방문요양·방문목욕,,0,0,62,7,0,20250422
24673000001,구례재가사랑노인복지센터,전라남도,구례군,구례읍,전라남도 구례군 구례읍 택지2길  42-6 (구례읍),방문간호,,0,0,25,2,2,20080520
24673000038,구례정원노인복지센터,전라남도,구례군,구례읍,전라남도 구례군 구례읍 시동길  33-55 (구례읍),방문요양·방문목욕·주야간보호,,0,0,41,5,0,20130812
24673000064,구례섬김 노인복지센터,전라남도,구례군,구례읍,전라남도 구례군 구례읍 택지길  49 (구례읍),방문요양·방문목욕·주야간보호,,0,0,52,3,0,20200319
24673000065,소나무노인복지센터,전라남도,구례군,구례읍,전라남도 구례군 구례읍 북교길  14 1층 (구례읍),방문요양,,0,0,19,1,0,20200507
24673000068,우리노인복지센터,전라남도,구례군,마산면,전라남도 구례군 마산면 마산4길  27-3 (마산면),방문요양·주야간보호,,0,0,8,3,0,20210601
24673000072,더나은방문간호센터,전라남도,구례군,용방면,전라남도 구례군 용방면 선월길  102-9 (용방면),방문간호,,0,0,0,0,9,20220209
24673000076,구례미래 방문요양센터,전라남도,구례군,구례읍,전라남도 구례군 구례읍 중앙로  34 2층 (구례읍),방문요양·방문목욕,,0,0,97,4,0,20230914
24673000077,가온 노인복지센터,전라남도,구례군,구례읍,전라남도 구례군 구례읍 봉동길  4-31 (구례읍),방문요양·방문목욕,,0,0,15,0,0,20240326
24673000078,정다운 데이케어 센터,전라남도,구례군,구례읍,전라남도 구례군 구례읍 구례1길  48 6층 (구례읍),방문요양·방문목욕·주야간보호,,1,0,54,6,0,20240901
24673000079,소망재가노인복지센터,전라남도,구례군,토지면,전라남도 구례군 토지면 대내안길  12 (토지면),방문요양,,0,0,6,0,0,20250827
24673000080,지리산삼성노인복지센터,전라남도,구례군,구례읍,전라남도 구례군 구례읍 구례로  466 (구례읍),주야간보호,,0,0,3,1,0,20260107
24677000004,참빛종합재가복지센터,전라남도,고흥군,고흥읍,전라남도 고흥군 고흥읍 수덕길  60-11 (고흥읍),주야간보호,,0,0,51,2,0,20080527
24677000015,고흥종합복지센터,전라남도,고흥군,고흥읍,전라남도 고흥군 고흥읍 고흥로  1943 (고흥읍),,,0,0,41,3,0,20080813
24677000071,샬롬복지센터,전라남도,고흥군,포두면,전라남도 고흥군 포두면 서동길  17 (포두면),방문요양·방문목욕·주야간보호,,1,0,56,4,1,20120322
24677000115,녹동한사랑재가노인복지센터,전라남도,고흥군,도양읍,전라남도 고흥군 도양읍 비봉로  80 (도양읍),주야간보호,,0,0,7,3,0,20180327
24677000124,고흥나눔노인복지센터,전라남도,고흥군,남양면,전라남도 고흥군 남양면 침교길  89 (남양면),방문요양·방문목욕·주야간보호,,0,0,55,6,1,20190429
24677000126,도양노인복지센터,전라남도,고흥군,도양읍,전라남도 고흥군 도양읍 대봉동봉길  45 (도양읍),방문요양·방문목욕·주야간보호,,0,0,82,7,0,20190530
24677000127,나로도노인복지센터,전라남도,고흥군,봉래면,전라남도 고흥군 봉래면 나로도항길  53-2 (봉래면),방문요양·방문목욕,,0,0,51,8,0,20190626
24677000128,효자노인복지센터,전라남도,고흥군,도화면,전라남도 고흥군 도화면 당오천변1길  47 (도화면),방문요양·방문목욕·주야간보호,,0,0,36,5,0,20190910
24677000130,일오삼섬김의집,전라남도,고흥군,과역면,전라남도 고흥군 과역면 고흥로  2971-2 (과역면),방문요양·방문목욕,,0,0,52,2,0,20191001
24677000133,풍양노인복지센터,전라남도,고흥군,도양읍,전라남도 고흥군 도양읍 비봉로  124 (도양읍),방문요양·방문목욕,,0,0,37,2,0,20191209
24677000135,드림주간보호센터,전라남도,고흥군,도덕면,전라남도 고흥군 도덕면 고흥로  485-5 (도덕면),방문요양·방문목욕·주야간보호,,0,0,32,3,0,20200420
24677000136,한마음재가노인복지센터,전라남도,고흥군,고흥읍,전라남도 고흥군 고흥읍 고흥로  1533 102호 (고흥읍),방문요양·방문목욕,,0,0,43,3,0,20200410
24677000137,도화안정재가센터,전라남도,고흥군,도화면,전라남도 고흥군 도화면 구암로  384-11 (도화면),방문요양·방문목욕,,0,0,7,1,0,20200410
