시설유형,시설종류,시설명,시도,시군구,주소
노인여가복지시설,노인교실,(사)대한노인회강화군지회,인천광역시,강화군,인천광역시 강화군 강화읍 남산리 223-0001
노인여가복지시설,노인교실,(사)대한노인회강화군지회 부설 노인대학,인천광역시,강화군,인천광역시 강화군 강화읍 중앙로 17-16
노인여가복지시설,노인교실,(사)대한노인회거제시지회 부설 연초노인대학,경상남도,거제시,경상남도 거제시 연초면 거제북로 25
노인여가복지시설,노인교실,(사)대한노인회거제시지회 부설 일운노인대학,경상남도,거제시,경상남도 거제시 일운면 거제대로 2504
노인여가복지시설,노인교실,(사)대한노인회경주시지회부설노인대학,경상북도,경주시,"경상북도 경주시 태종로711번길 36, 2층 (노서동)"
노인여가복지시설,노인교실,(사)대한노인회과천시지회,경기도,과천시,경기도 과천시 문원로 57 (문원동)
노인여가복지시설,노인교실,(사)대한노인회관악구지회 부설 노인대학,서울특별시,관악구,"서울특별시 관악구 관악로5길 95, 1층 (봉천동)"
노인여가복지시설,노인교실,(사)대한노인회광명시지회 부설 광명노인대학,경기도,광명시,"경기도 광명시 소하로 196 (소하동, 1층 광명노인회관)"
노인여가복지시설,노인교실,(사)대한노인회대구북구지회 부설 북구노인대학,대구광역시,북구,대구광역시 북구 칠성남로26길 27 (칠성동2가)
노인여가복지시설,노인교실,(사)대한노인회동구지회부설 노인교실,울산광역시,동구,울산광역시 동구 봉수로 24 (방어동)
노인여가복지시설,노인교실,(사)대한노인회봉화군지회부설 노인대학,경상북도,봉화군,경상북도 봉화군 봉화읍 내성리
노인여가복지시설,노인교실,(사)대한노인회삼척시지회부설노인대학,강원특별자치도,삼척시,강원특별자치도 삼척시 봉황로 85 (남양동)
노인여가복지시설,노인교실,(사)대한노인회상주시지회부설노인대학,경상북도,상주시,경상북도 상주시 상서문3길 127 (남성동)
노인여가복지시설,노인교실,(사)대한노인회서귀포시지회부설 남원노인대학,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 남한로 67
노인여가복지시설,노인교실,(사)대한노인회서귀포시지회부설 대정노인대학,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 신영로94번길 8
노인여가복지시설,노인교실,(사)대한노인회서귀포시지회부설 서귀포노인대학,제주특별자치도,서귀포시,제주특별자치도 서귀포시 태평로537번길 40-9 (동홍동)
노인여가복지시설,노인교실,(사)대한노인회서귀포시지회부설 성산노인대학,제주특별자치도,서귀포시,제주특별자치도 서귀포시 성산읍 산성효자로 67
노인여가복지시설,노인교실,(사)대한노인회서귀포시지회부설 안덕노인대학,제주특별자치도,서귀포시,제주특별자치도 서귀포시 안덕면 화순로 121-6
