시설유형,시설종류,시설명,시도,시군구,주소
정신건강기관,기초정신건강복지센터,고신대학교 의과대학,부산광역시,영도구,부산광역시 영도구 동삼북로2 동삼1주공아파트 상가 209호
정신건강기관,정신재활시설,고운누리,대전광역시,서구,"대전광역시 서구 도마로25번길 54, 101호(도마동)"
정신건강기관,정신재활시설,고운누리,경기도,성남시 수정구,경기도 성남시 수정구 산성대로 193 금성빌딩 5층
정신건강기관,기초정신건강복지센터,고정선신경 정신의학과,인천광역시,동구,인천광역시 동구 인중로 377 2층
정신건강기관,중독관리통합지원센터,고정선정신건강의학과의원,인천광역시,동구,인천광역시 동구 인중로 377 2층 
정신건강기관,기초정신건강복지센터,고흥군 정신건강복지센터,전라남도,고흥군,전라남도 고흥군 등암3길 5
정신건강기관,정신재활시설,공감플러스,서울특별시,강서구,서울특별시 강서구 화곡로61길 130 남영빌딩 3층
정신건강기관,정신재활시설,공생하우스,제주특별자치도,제주시,제주특별자치도 제주시 아봉로449-10 
정신건강기관,정신요양시설,공주벧엘정신요양원,충청남도,공주시,충청남도 공주시 백제문화로 2015-20
정신건강기관,기초정신건강복지센터,관악구 정신건강복지센터,서울특별시,관악구,"서울특별시 관악구 관악로 145, 3동 4층"
정신건강기관,정신재활시설,관악좋은집,서울특별시,관악구,"서울특별시 관악구 법원단지32길 5, 201호(신림동)"
정신건강기관,자살예방센터,광명시자살예방센터,경기도,광명시,경기도 광명시 오리로 613 광명시보건소 1층 11호
정신건강기관,기초정신건강복지센터,광양시 정신건강복지센터,전라남도,광양시,전라남도 광양시 광양읍 인덕로 1100
정신건강기관,기초정신건강복지센터,광주광역시 기초정신건강복지센터,광주광역시,서구,광주광역시 서구 운천로 172번길 32(상무금호보건지소 정신보건팀)
정신건강기관,자살예방센터,광주광역자살예방센터,광주광역시,동구,"광주광역시 동구 제봉로 27, 5층"
정신건강기관,정신재활시설,광주새생명보건센터,광주광역시,동구,광주광역시 동구 중흥로 197
정신건강기관,정신재활시설,광주정신재활센터,광주광역시,북구,광주광역시 북구 서하로 240-18 2층
정신건강기관,중독관리통합지원센터,광주제일병원,광주광역시,남구,광주광역시 남구 독립로 25-1
정신건강기관,정신재활시설,광주해피라이프,광주광역시,서구,광주광역시 서구 화운로 172
정신건강기관,정신재활시설,광진 오사랑의집,서울특별시,광진구,"서울특별시 광진구 긴고랑로 36길 57-11, 301호"
정신건강기관,기초정신건강복지센터,광진구정신건강복지센터,서울특별시,광진구,서울특별시 광진구 긴고랑로 110 중곡종합건강센터 4층
정신건강기관,기초정신건강복지센터,괴산군 정신건강복지센터,충청북도,괴산군,충청북도 괴산군 괴산읍 읍내로2길 27-10
정신건강기관,기초정신건강복지센터,구례군 정신건강복지센터,전라남도,구례군,전라남도 구례군 구례읍 동편제길30 
정신건강기관,기초정신건강복지센터,구로구 정신건강복지센터,서울특별시,구로구,서울특별시 구로구 새말로 60
정신건강기관,정신재활시설,구로구공동희망학교,서울특별시,구로구,"서울특별시 구로구 구로중앙로18길 50, 2층"
정신건강기관,기초정신건강복지센터,구미시 정신건강복지센터,경상북도,구미시,경상북도 구미시 선산읍 선주로 121
정신건강기관,광역정신건강복지센터,국립공주병원,충청남도,홍성군,충청남도 홍성군 홍북면 충청남도대로 21
정신건강기관,기초정신건강복지센터,국립공주병원,충청남도,공주시,충청남도 공주시 봉황로 123 1층
정신건강기관,기초정신건강복지센터,국립나주병원,광주광역시,광산구,"광주광역시 광산구 상무대로 239-1, 3층"
정신건강기관,기초정신건강복지센터,국립나주병원,광주광역시,남구,"광주광역시 남구 봉선로 1, 5층"
정신건강기관,광역정신건강복지센터,국립나주병원,전라남도,나주시,전라남도 나주시 산포면 세남로 1328-31
정신건강기관,기초정신건강복지센터,국립나주병원,전라남도,곡성군,전라남도 곡성군 곡성읍 곡성로
