기관마다 어느 경로로 공고가 들어오는지 (2026-09-25)
「없음」 이 우리가 놓치는 곳입니다.

경로는 세 가지를 합쳐 봤습니다 —
  알리오·클린아이  그 API 의 기관 목록에 이름이 있는지 (알리오 353곳 · 클린아이 176곳)
  홈페이지        HOSP_SITES 에 켜져 있는지 (317곳 중 켜진 270곳)
  그 밖          실제로 그 기관 공고가 들어온 적이 있는지

경로	갈래	기관명
★ 없음	공공보건의료	충북도립노인전문병원
★ 없음	공공보건의료	충주시노인전문병원
★ 없음	공공보건의료	충주위담통합병원
★ 없음	공공보건의료	칠곡군립노인요양병원
★ 없음	공공보건의료	통영적십자병원
★ 없음	공공보건의료	푸르메재단 넥슨어린이재활병원
★ 없음	공공보건의료	함평군공립요양병원
★ 없음	공공보건의료	해군포항병원
★ 없음	공공보건의료	해군해양의료원
★ 없음	공공보건의료	호남권역재활병원
★ 없음	공공보건의료	화순군립요양병원
★ 없음	대학병원	(학교법인)동국대학교 한의과대학 분당한방병원
★ 없음	대학병원	가톨릭관동대학교 국제성모병원
★ 없음	대학병원	강남을지대학교병원
★ 없음	대학병원	강동경희대학교병원
★ 없음	대학병원	계명대학교 경주동산병원
★ 없음	대학병원	나주동신대학교한방병원
★ 없음	대학병원	대구보건대학교병원
★ 없음	대학병원	대전대학교 대전한방병원
★ 없음	대학병원	대전대학교서울한방병원
★ 없음	대학병원	대전대학교천안한방병원
★ 없음	대학병원	동국대학교의과대학경주병원
★ 없음	대학병원	동신대학교광주한방병원
★ 없음	대학병원	동신대학교부속 목포한방병원
★ 없음	대학병원	동아대학교대신병원
★ 없음	대학병원	세명대학교 충주한방병원
★ 없음	대학병원	세종충남대학교병원
★ 없음	대학병원	원광대학교 산본병원
★ 없음	대학병원	원광대학교 한방병원
★ 없음	대학병원	원광대학교광주한방병원
★ 없음	대학병원	원광대학교전주한방병원
★ 없음	대학병원	조선대학교치과병원
★ 없음	대학병원	중앙대학교광명병원
★ 없음	대학병원	차의과학대학교부속구미차병원
★ 없음	대학병원	차의과학대학교분당차병원
★ 없음	대학병원	학교법인 건양교육재단 건양대학교부여병원
★ 없음	대학병원	학교법인 대우학원 아주대학교요양병원
★ 없음	대학병원	한국관광대학 부설 노인전문병원
★ 없음	대학병원	한양대학교구리병원
★ 없음	보건기관	가거도보건지소
★ 없음	보건기관	가은보건지소
★ 없음	보건기관	가평군보건소
★ 없음	보건기관	강남구보건소
★ 없음	보건기관	강동구보건소
★ 없음	보건기관	강릉시보건소
★ 없음	보건기관	강북구보건소
★ 없음	보건기관	강북보건지소
★ 없음	보건기관	강원도 고성군보건소
★ 없음	보건기관	강정보건지소
★ 없음	보건기관	강진군보건소
★ 없음	보건기관	강진보건지소
★ 없음	보건기관	강화군보건소
★ 없음	보건기관	개도보건지소
★ 없음	보건기관	거제시보건소
★ 없음	보건기관	거창군보건소
★ 없음	보건기관	결성보건지소
★ 없음	보건기관	경산시보건소
★ 없음	보건기관	경주시보건소
★ 없음	보건기관	계양구 보건소
★ 없음	보건기관	고군보건지소
★ 없음	보건기관	고대면보건지소
★ 없음	보건기관	고령군다산면보건지소
★ 없음	보건기관	고령군보건소
★ 없음	보건기관	고성읍보건지소
★ 없음	보건기관	고양시덕양구보건소
★ 없음	보건기관	고양시일산동구보건소
★ 없음	보건기관	고양시일산서구보건소
★ 없음	보건기관	고창군보건소
★ 없음	보건기관	고창군해리보건지소
★ 없음	보건기관	고흥군보건소
★ 없음	보건기관	곡성군보건의료원
★ 없음	보건기관	곡성군옥과면보건지소
★ 없음	보건기관	공성면보건지소
★ 없음	보건기관	공주시보건소
★ 없음	보건기관	과천시보건소
★ 없음	보건기관	관악구보건소
★ 없음	보건기관	관저보건지소
★ 없음	보건기관	광명시보건소
★ 없음	보건기관	광산구보건소
★ 없음	보건기관	광양시도시보건지소
★ 없음	보건기관	광양시보건소
★ 없음	보건기관	광양시보건소중마통합보건지소
★ 없음	보건기관	광주광역시남구보건소
★ 없음	보건기관	광주광역시동구보건소
★ 없음	보건기관	광주광역시북구보건소
★ 없음	보건기관	광주광역시서구보건소
★ 없음	보건기관	광주시보건소
★ 없음	보건기관	광진구보건소
★ 없음	보건기관	광혜원보건지소
★ 없음	보건기관	괴산군보건소
★ 없음	보건기관	구례군보건의료원
★ 없음	보건기관	구로구보건소
★ 없음	보건기관	구리시보건소
★ 없음	보건기관	구미시보건소
★ 없음	보건기관	구미시선산보건소
★ 없음	보건기관	구산보건지소
★ 없음	보건기관	구좌보건지소
★ 없음	보건기관	군산시대야면보건지소
★ 없음	보건기관	군산시보건소
★ 없음	보건기관	군산시통합보건지소
★ 없음	보건기관	군서면보건지소
★ 없음	보건기관	군위군보건소
★ 없음	보건기관	군포시보건소
★ 없음	보건기관	근덕보건지소
★ 없음	보건기관	금산군보건소
★ 없음	보건기관	금지주생통합보건지소
★ 없음	보건기관	금천보건지소
★ 없음	보건기관	기장군보건소정관지소
★ 없음	보건기관	기흥구보건소
★ 없음	보건기관	김제시보건소
★ 없음	보건기관	김천시보건소
★ 없음	보건기관	김포시보건소
★ 없음	보건기관	김해시대동면보건지소
★ 없음	보건기관	김해시보건소
★ 없음	보건기관	김해시서부보건소
★ 없음	보건기관	김해시진영읍보건지소
★ 없음	보건기관	나주시공산면보건지소
★ 없음	보건기관	나주시다도면보건지소
★ 없음	보건기관	나주시문평면보건지소
